Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
OP345098.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Urupinsk 825/21,Orthoflavivirus nilense,11044,complete,Russia: Urupinsk,Russia,,Anopheles maculipennis,,2021,,"West Nile virus isolate Urupinsk 825/21, complete genome"
OP345099.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Rostov 7/21,Orthoflavivirus nilense,11044,complete,Russia: Rostov,Russia,,Corvus frugilegus,,2021,,"West Nile virus isolate Rostov 7/21, complete genome"
OP345100.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Dagestan 751/21,Orthoflavivirus nilense,11044,complete,Russia: Dagestan,Russia,,Culex pipiens,,2021,,"West Nile virus isolate Dagestan 751/21, complete genome"
OP345101.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Astrakhan 962/21,Orthoflavivirus nilense,11044,complete,Russia: Astrakhan,Russia,,Culex modestus,,2021,,"West Nile virus isolate Astrakhan 962/21, complete genome"
OP345102.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgograd 312/20,Orthoflavivirus nilense,11044,complete,Russia: Volgograd,Russia,,Coloeus monedula,,2020,,"West Nile virus isolate Volgograd 312/20, complete genome"
OP345103.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgograd 305/20,Orthoflavivirus nilense,11044,complete,Russia: Volgograd,Russia,,Podiceps cristatus,,2020,,"West Nile virus isolate Volgograd 305/20, complete genome"
OP345104.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Rostov 297/20,Orthoflavivirus nilense,11044,complete,Russia: Rostov,Russia,,Corvus frugilegus,,2020,,"West Nile virus isolate Rostov 297/20, complete genome"
OP345105.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgograd 120/20,Orthoflavivirus nilense,11043,complete,Russia: Volgograd,Russia,,Culex pipiens,,2020,,"West Nile virus isolate Volgograd 120/20, complete genome"
OP345106.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgograd 5/20,Orthoflavivirus nilense,11044,complete,Russia: Volgograd,Russia,,Culex pipiens,,2020,,"West Nile virus isolate Volgograd 5/20, complete genome"
OP345107.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgograd 810/19,Orthoflavivirus nilense,10966,complete,Russia: Volgograd,Russia,,Homo sapiens,,2019,,"West Nile virus isolate Volgograd 810/19, complete genome"
OP345108.1,West Nile virus,,"Antonov,A.S., Avdiusheva,E.F., Ustinov,D.V., Izhberdeeva,M.P., Boroday,N.V., Luchinin,D.N., Machneva,A.Y., Gusev,E.A., Molchanova,E.V., Spak,I.M.","Volgograd Plague Control Research Institute, Laboratory of bioinformatics",,2023-04-10T00:00:00Z,Volgograd 16/19,Orthoflavivirus nilense,10969,complete,Russia: Volgograd,Russia,,Culex pipiens,,2019,,"West Nile virus isolate Volgograd 16/19, complete genome"
OQ326499.1,West Nile virus,,"Bergmann,F., Fischer,D., Fischer,L., Maisch,H., Risch,T., Dreyer,S., Sadeghi,B., Geelhaar,D., Grund,L., Merz,S., Groschup,M.H., Ziegler,U.","Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases",Germany,2023-04-10T00:00:00Z,M4888,Orthoflavivirus nilense,10305,partial,Germany,Germany,,Trichoglossus moluccanus,blood,2021-05-19,,"West Nile virus isolate M4888 polyprotein gene, complete cds"
OP179287.1,West Nile virus,,"Nagy,A., Horvath,A.","National Public Health Center, National Reference Laboratory for Viral Zoonoses",Hungary,2023-03-29T00:00:00Z,HUN_WNV2324_2021,Orthoflavivirus nilense,11009,complete,Hungary,Hungary,,Homo sapiens,urine,2021-08,,"West Nile virus isolate HUN_WNV2324_2021, complete genome"
OP179288.1,West Nile virus,,"Nagy,A., Horvath,A.","National Public Health Center, National Reference Laboratory for Viral Zoonoses",Hungary,2023-03-29T00:00:00Z,HUN_WNV2947_2021,Orthoflavivirus nilense,11021,complete,Hungary,Hungary,,Homo sapiens,urine,2021-08,,"West Nile virus isolate HUN_WNV2947_2021, complete genome"
MT840690.1,West Nile virus,,"Kaiser,J.A., Carpio,K.L., Luo,H., Widen,S.G., Wood,T.G., Shi,P.-Y., Huang,C.Y.H., Higgs,S., Wang,T., Barrett,A.D.T.","University of Texas Medical Branch, Pathology",USA,2023-03-26T00:00:00Z,TWN3212,Orthoflavivirus nilense,10945,partial,,,,,,,,"West Nile virus isolate TWN3212 polyprotein gene, complete cds"
MT840691.1,West Nile virus,,"Kaiser,J.A., Carpio,K.L., Luo,H., Widen,S.G., Wood,T.G., Shi,P.-Y., Huang,C.Y.H., Higgs,S., Wang,T., Barrett,A.D.T.","University of Texas Medical Branch, Pathology",USA,2023-03-26T00:00:00Z,TWN3213,Orthoflavivirus nilense,11020,partial,,,,,,,,"West Nile virus isolate TWN3213 polyprotein gene, complete cds"
MT840692.1,West Nile virus,,"Kaiser,J.A., Carpio,K.L., Luo,H., Widen,S.G., Wood,T.G., Shi,P.-Y., Huang,C.Y.H., Higgs,S., Wang,T., Barrett,A.D.T.","University of Texas Medical Branch, Pathology",USA,2023-03-26T00:00:00Z,TWN3080,Orthoflavivirus nilense,11029,partial,,,,,,,,"West Nile virus isolate TWN3080 polyprotein gene, complete cds"
MT840693.1,West Nile virus,,"Kaiser,J.A., Carpio,K.L., Luo,H., Widen,S.G., Wood,T.G., Shi,P.-Y., Huang,C.Y.H., Higgs,S., Wang,T., Barrett,A.D.T.","University of Texas Medical Branch, Pathology",USA,2023-03-26T00:00:00Z,TWN3137,Orthoflavivirus nilense,11034,partial,,,,,,,,"West Nile virus isolate TWN3137 polyprotein gene, complete cds"
MT840694.1,West Nile virus,,"Kaiser,J.A., Carpio,K.L., Luo,H., Widen,S.G., Wood,T.G., Shi,P.-Y., Huang,C.Y.H., Higgs,S., Wang,T., Barrett,A.D.T.","University of Texas Medical Branch, Pathology",USA,2023-03-26T00:00:00Z,TWN3144,Orthoflavivirus nilense,11022,partial,,,,,,,,"West Nile virus isolate TWN3144 polyprotein gene, complete cds"
MT840695.1,West Nile virus,,"Kaiser,J.A., Carpio,K.L., Luo,H., Widen,S.G., Wood,T.G., Shi,P.-Y., Huang,C.Y.H., Higgs,S., Wang,T., Barrett,A.D.T.","University of Texas Medical Branch, Pathology",USA,2023-03-26T00:00:00Z,TWN3145,Orthoflavivirus nilense,11023,partial,,,,,,,,"West Nile virus isolate TWN3145 polyprotein gene, complete cds"
MT840696.1,West Nile virus,,"Kaiser,J.A., Carpio,K.L., Luo,H., Widen,S.G., Wood,T.G., Shi,P.-Y., Huang,C.Y.H., Higgs,S., Wang,T., Barrett,A.D.T.","University of Texas Medical Branch, Pathology",USA,2023-03-26T00:00:00Z,TWN3166,Orthoflavivirus nilense,11029,partial,,,,,,,,"West Nile virus isolate TWN3166 polyprotein gene, complete cds"
MT840697.1,West Nile virus,,"Kaiser,J.A., Carpio,K.L., Luo,H., Widen,S.G., Wood,T.G., Shi,P.-Y., Huang,C.Y.H., Higgs,S., Wang,T., Barrett,A.D.T.","University of Texas Medical Branch, Pathology",USA,2023-03-26T00:00:00Z,TWN3179,Orthoflavivirus nilense,11024,partial,,,,,,,,"West Nile virus isolate TWN3179 polyprotein gene, complete cds"
MT840698.1,West Nile virus,,"Kaiser,J.A., Carpio,K.L., Luo,H., Widen,S.G., Wood,T.G., Shi,P.-Y., Huang,C.Y.H., Higgs,S., Wang,T., Barrett,A.D.T.","University of Texas Medical Branch, Pathology",USA,2023-03-26T00:00:00Z,TWN3184,Orthoflavivirus nilense,11029,partial,,,,,,,,"West Nile virus isolate TWN3184 polyprotein gene, complete cds"
MT840699.1,West Nile virus,,"Kaiser,J.A., Carpio,K.L., Luo,H., Widen,S.G., Wood,T.G., Shi,P.-Y., Huang,C.Y.H., Higgs,S., Wang,T., Barrett,A.D.T.","University of Texas Medical Branch, Pathology",USA,2023-03-26T00:00:00Z,TWN3201,Orthoflavivirus nilense,11023,partial,,,,,,,,"West Nile virus isolate TWN3201 polyprotein gene, complete cds"
ON813210.1,West Nile virus,,"Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-03-20T00:00:00Z,SN2013 260164,Orthoflavivirus nilense,10967,partial,Senegal: Barkedji region,Senegal,,Culex neavei,,2013,,"West Nile virus isolate SN2013 260164 polyprotein gene, complete cds"
ON813211.1,West Nile virus,,"Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-03-20T00:00:00Z,SN2016 286301,Orthoflavivirus nilense,10968,partial,Senegal: Barkedji region,Senegal,,Culex poicilipes,,2016,,"West Nile virus isolate SN2016 286301 polyprotein gene, complete cds"
ON813212.1,West Nile virus,,"Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-03-20T00:00:00Z,SN2016 288154,Orthoflavivirus nilense,10972,partial,Senegal: Barkedji region,Senegal,,Culex neavei,,2016,,"West Nile virus isolate SN2016 288154 polyprotein gene, complete cds"
ON813213.1,West Nile virus,,"Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-03-20T00:00:00Z,SN2016 286281,Orthoflavivirus nilense,10967,partial,Senegal: Barkedji region,Senegal,,Culex bitaeniorhynchus,,2016,,"West Nile virus isolate SN2016 286281 polyprotein gene, complete cds"
ON813214.1,West Nile virus,,"Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-03-20T00:00:00Z,SN2012 251053,Orthoflavivirus nilense,10960,partial,Senegal: Barkedji region,Senegal,,Culex neavei,,2012,,"West Nile virus isolate SN2012 251053 polyprotein gene, complete cds"
ON813215.1,West Nile virus,,"Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-03-20T00:00:00Z,SN2012 241164,Orthoflavivirus nilense,10962,partial,Senegal: Barkedji region,Senegal,,Culex perfuscus,,2012,,"West Nile virus isolate SN2012 241164 polyprotein gene, complete cds"
ON813216.1,West Nile virus,,"Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-03-20T00:00:00Z,SN2012 240964,Orthoflavivirus nilense,10959,partial,Senegal: Barkedji region,Senegal,,Culex quinquefasciatus,,2012,,"West Nile virus isolate SN2012 240964 polyprotein gene, complete cds"
ON813217.1,West Nile virus,,"Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-03-20T00:00:00Z,SN2006 ArD 172169,Orthoflavivirus nilense,10822,partial,Senegal: Thille Boubacar region,Senegal,,Culex antennatus,,2006,,"West Nile virus isolate SN2006 ArD 172169 polyprotein gene, complete cds"
ON813218.1,West Nile virus,,"Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-03-20T00:00:00Z,SN2006 ArD 172145,Orthoflavivirus nilense,11000,partial,Senegal: Thille Boubacar region,Senegal,,Culex antennatus,,2006,,"West Nile virus isolate SN2006 ArD 172145 polyprotein gene, complete cds"
ON813219.1,West Nile virus,,"Ndione,M.H.D., Mencattelli,G., Diagne,M.M., Savini,G., Monaco,F., Di Lollo,V., Curini,V., Camma,C., Faye,O.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-03-20T00:00:00Z,SN2006 ArD 166355,Orthoflavivirus nilense,11000,partial,Senegal: Barkedji region,Senegal,,Aedes vexans,,2006,,"West Nile virus isolate SN2006 ArD 166355 polyprotein gene, complete cds"
ON813230.1,West Nile virus,,"Mencattelli,G., Curini,V., Marcacci,M., Di Lollo,V., Secondini,B., Teodori,L., Monaco,F., Savini,G.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-03-20T00:00:00Z,ITA2021 299815,Orthoflavivirus nilense,10979,partial,Italy: Emilia-Romagna region,Italy,,Corvus cornix,,2021,,"West Nile virus isolate ITA2021 299815 polyprotein gene, complete cds"
ON813231.1,West Nile virus,,"Mencattelli,G., Curini,V., Marcacci,M., Di Lollo,V., Secondini,B., Teodori,L., Monaco,F., Savini,G.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-03-20T00:00:00Z,ITA2021 300240,Orthoflavivirus nilense,10946,partial,Italy: Emilia-Romagna region,Italy,,Pica pica,,2021,,"West Nile virus isolate ITA2021 300240 polyprotein gene, complete cds"
ON813232.1,West Nile virus,,"Mencattelli,G., Curini,V., Marcacci,M., Di Lollo,V., Secondini,B., Teodori,L., Monaco,F., Savini,G.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-03-20T00:00:00Z,307743/2021,Orthoflavivirus nilense,10926,partial,Italy: Sardinia region,Italy,,Accipiter gentilis,,2021,,"West Nile virus isolate 307743/2021 polyprotein gene, complete cds"
ON813233.1,West Nile virus,,"Mencattelli,G., Curini,V., Marcacci,M., Di Lollo,V., Secondini,B., Teodori,L., Monaco,F., Savini,G.","Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Animals Foreign Diseases",Italy,2023-03-20T00:00:00Z,ITA 2022 24302,Orthoflavivirus nilense,11028,partial,Italy: Piemonte region,Italy,,Accipiter gentilis,,2022,,"West Nile virus isolate ITA 2022 24302 polyprotein gene, complete cds"
OX451204.1,West Nile virus,,,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493",Germany,2023-03-11T00:00:00Z,ED-I-219-20,Orthoflavivirus nilense,10988,complete,Germany,Germany,,Phoenicopterus chilensis,,2020-08-26,SAMEA14501128,"West Nile virus isolate ED-I-219-20 genome assembly, complete genome: monopartite"
OX442271.1,West Nile virus,,,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493",Germany,2023-03-02T00:00:00Z,ED-I-261-20,Orthoflavivirus nilense,10988,complete,Germany,Germany,,Phoenicopterus chilensis,,2020-09,SAMEA14501117,"West Nile virus isolate ED-I-261-20 genome assembly, complete genome: monopartite"
OX442272.1,West Nile virus,,,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493",Germany,2023-03-02T00:00:00Z,ED-I-228-20,Orthoflavivirus nilense,10978,complete,Germany,Germany,,Equus caballus,,2020-09-02,SAMEA14501119,"West Nile virus isolate ED-I-228-20 genome assembly, complete genome: monopartite"
OX442273.1,West Nile virus,,,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493",Germany,2023-03-02T00:00:00Z,ED-I-258-20,Orthoflavivirus nilense,10988,complete,Germany,Germany,,Parus major,,2020-08,SAMEA14501113,"West Nile virus isolate ED-I-258-20 genome assembly, complete genome: monopartite"
OX442274.1,West Nile virus,,,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493",Germany,2023-03-02T00:00:00Z,ED-I-281-20,Orthoflavivirus nilense,10988,complete,Germany,Germany,,Phoenicopterus sp.,,2020-09,SAMEA14501110,"West Nile virus isolate ED-I-281-20 genome assembly, complete genome: monopartite"
OX442275.1,West Nile virus,,,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493",Germany,2023-03-02T00:00:00Z,ED-I-173-20,Orthoflavivirus nilense,10988,complete,Germany,Germany,,Pyrrhocorax graculus,,2020-07-12,SAMEA14501120,"West Nile virus isolate ED-I-173-20 genome assembly, complete genome: monopartite"
OX442276.1,West Nile virus,,,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493",Germany,2023-03-02T00:00:00Z,ED-I-196-20,Orthoflavivirus nilense,10988,complete,Germany,Germany,,Buteo,,2020-08,SAMEA14501112,"West Nile virus isolate ED-I-196-20 genome assembly, complete genome: monopartite"
OX442277.1,West Nile virus,,,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493",Germany,2023-03-02T00:00:00Z,ED-I-282-20,Orthoflavivirus nilense,10988,complete,Germany,Germany,,Bubo scandiacus,,2020-09-02,SAMEA14501109,"West Nile virus isolate ED-I-282-20 genome assembly, complete genome: monopartite"
OX442278.1,West Nile virus,,,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493",Germany,2023-03-02T00:00:00Z,ED-I-260-20,Orthoflavivirus nilense,10988,complete,Germany,Germany,,Serinus canaria,,2020-09,SAMEA14501116,"West Nile virus isolate ED-I-260-20 genome assembly, complete genome: monopartite"
OX442279.1,West Nile virus,,,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493",Germany,2023-03-02T00:00:00Z,ED-I-193-20,Orthoflavivirus nilense,10985,complete,Germany,Germany,,Accipiter gentilis,,2020-07-30,SAMEA14501091,"West Nile virus isolate ED-I-193-20 genome assembly, complete genome: monopartite"
OX442280.1,West Nile virus,,,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493",Germany,2023-03-02T00:00:00Z,ED-I-245-20,Orthoflavivirus nilense,10988,complete,Germany,Germany,,Phoenicopterus sp.,,2020-08,SAMEA14501115,"West Nile virus isolate ED-I-245-20 genome assembly, complete genome: monopartite"
